TIME;Value
1990M01;1.2022
1990M02;1.2183
1990M03;1.1973
1990M04;1.2116
1990M05;1.2322
1990M06;1.2229
1990M07;1.2616
1990M08;1.3162
1990M09;1.3133
1990M10;1.3522
1990M11;1.3809
1990M12;1.3672
1991M01;1.3575
1991M02;1.3841
1991M03;1.2806
1991M04;1.2106
1991M05;1.1992
1991M06;1.1513
1991M07;1.1489
1991M08;1.1764
1991M09;1.2078
1991M10;1.2114
1991M11;1.2579
1991M12;1.3004
1992M01;1.2946
1992M02;1.2629
1992M03;1.2304
1992M04;1.2424
1992M05;1.2681
1992M06;1.3032
1992M07;1.3706
1992M08;1.4019
1992M09;1.3867
1992M10;1.3252
1992M11;1.2389
1992M12;1.239
1993M01;1.2122
1993M02;1.1823
1993M03;1.1787
1993M04;1.2211
1993M05;1.2172
1993M06;1.185
1993M07;1.1385
1993M08;1.1333
1993M09;1.1791
1993M10;1.1639
1993M11;1.1288
1993M12;1.1289
1994M01;1.1141
1994M02;1.1176
1994M03;1.1419
1994M04;1.1392
1994M05;1.1644
1994M06;1.1835
1994M07;1.2219
1994M08;1.2232
1994M09;1.2354
1994M10;1.2609
1994M11;1.2437
1994M12;1.2158
1995M01;1.2408
1995M02;1.2587
1995M03;1.3171
1995M04;1.3414
1995M05;1.3216
1995M06;1.3314
1995M07;1.3448
1995M08;1.3044
1995M09;1.2888
1995M10;1.3222
1995M11;1.3238
1995M12;1.3043
1996M01;1.2918
1996M02;1.2886
1996M03;1.2813
1996M04;1.2639
1996M05;1.2467
1996M06;1.2529
1996M07;1.2706
1996M08;1.2832
1996M09;1.2691
1996M10;1.2584
1996M11;1.2769
1996M12;1.2503
1997M01;1.2162
1997M02;1.1658
1997M03;1.1498
1997M04;1.145
1997M05;1.1493
1997M06;1.1366
1997M07;1.1049
1997M08;1.0727
1997M09;1.0999
1997M10;1.1203
1997M11;1.1394
1997M12;1.1116
1998M01;1.0877
1998M02;1.0884
1998M03;1.0843
1998M04;1.0911
1998M05;1.109
1998M06;1.1014
1998M07;1.0975
1998M08;1.1016
1998M09;1.1541
1998M10;1.1938
1998M11;1.1644
1998M12;1.1721
1999M01;1.1608
1999M02;1.1208
1999M03;1.0883
1999M04;1.0704
1999M05;1.0628
1999M06;1.0378
1999M07;1.0353
1999M08;1.0604
1999M09;1.0501
1999M10;1.0706
1999M11;1.0338
1999M12;1.011
2000M01;1.0137
2000M02;0.9834
2000M03;0.9643
2000M04;0.947
2000M05;0.906
2000M06;0.9492
2000M07;0.9397
2000M08;0.9041
2000M09;0.8721
2000M10;0.8552
2000M11;0.8564
2000M12;0.8973
2001M01;0.9383
2001M02;0.9217
2001M03;0.9095
2001M04;0.892
2001M05;0.8742
2001M06;0.8532
2001M07;0.8607
2001M08;0.9005
2001M09;0.9111
2001M10;0.9059
2001M11;0.8883
2001M12;0.8924
