TIME;Value
1996M01;
1996M02;
1996M03;
1996M04;
1996M05;
1996M06;
1996M07;
1996M08;
1996M09;
1996M10;
1996M11;
1996M12;
1997M01;
1997M02;
1997M03;
1997M04;
1997M05;
1997M06;
1997M07;
1997M08;
1997M09;
1997M10;
1997M11;
1997M12;
1998M01;
1998M02;
1998M03;
1998M04;
1998M05;
1998M06;
1998M07;
1998M08;
1998M09;
1998M10;
1998M11;
1998M12;
1999M01;
1999M02;
1999M03;
1999M04;
1999M05;
1999M06;
1999M07;
1999M08;
1999M09;
1999M10;
1999M11;
1999M12;
2000M01;9.2
2000M02;9.2
2000M03;9.1
2000M04;9.1
2000M05;9
2000M06;9
2000M07;8.9
2000M08;8.9
2000M09;8.9
2000M10;8.8
2000M11;8.8
2000M12;8.7
2001M01;8.7
2001M02;8.7
2001M03;8.7
2001M04;8.7
2001M05;8.7
2001M06;8.7
2001M07;8.7
2001M08;8.7
2001M09;8.8
2001M10;8.8
2001M11;8.9
2001M12;8.9
2002M01;8.9
2002M02;8.9
2002M03;8.9
2002M04;9
2002M05;9
2002M06;9
2002M07;9.1
2002M08;9.1
2002M09;9.2
2002M10;9.1
2002M11;9.1
2002M12;9.1
2003M01;9.1
2003M02;9.1
2003M03;9.2
2003M04;9.1
2003M05;9.1
2003M06;9.2
2003M07;9.2
2003M08;9.2
2003M09;9.2
2003M10;9.2
2003M11;9.2
2003M12;9.3
2004M01;9.3
2004M02;9.3
2004M03;9.3
2004M04;9.3
2004M05;9.2
2004M06;9.2
2004M07;9.2
2004M08;9.2
2004M09;9.2
2004M10;9.2
2004M11;9.2
2004M12;9.1
2005M01;9.1
2005M02;9.1
2005M03;9.1
2005M04;9.1
2005M05;9.1
2005M06;9.1
2005M07;9
2005M08;8.9
2005M09;8.9
2005M10;8.9
2005M11;8.8
2005M12;8.8
2006M01;8.7
2006M02;8.6
2006M03;8.5
2006M04;8.4
2006M05;8.3
2006M06;8.2
2006M07;8.2
2006M08;8.1
2006M09;8.1
2006M10;8
2006M11;7.9
2006M12;7.8
2007M01;7.6
2007M02;7.5
2007M03;7.4
2007M04;7.3
2007M05;7.2
2007M06;7.2
2007M07;7.2
2007M08;7.1
2007M09;7.1
2007M10;7
2007M11;6.9
2007M12;6.9
2008M01;6.9
2008M02;6.8
2008M03;6.8
2008M04;6.8
2008M05;6.9
2008M06;6.9
2008M07;7
2008M08;7
2008M09;7.1
2008M10;7.2
2008M11;7.4
2008M12;7.7
2009M01;8
2009M02;8.4
2009M03;8.6
2009M04;8.8
2009M05;8.9
2009M06;9
2009M07;9.1
2009M08;9.2
2009M09;9.3
2009M10;9.4
2009M11;9.4
2009M12;9.5
2010M01;9.6
2010M02;9.7
2010M03;9.7
2010M04;9.7
2010M05;9.7
2010M06;9.6
2010M07;9.6
2010M08;9.6
2010M09;9.6
2010M10;9.6
2010M11;9.6
2010M12;9.6
2011M01;9.5
2011M02;9.5
2011M03;9.5
2011M04;9.5
2011M05;9.5
2011M06;9.5
2011M07;9.6
2011M08;9.7
2011M09;9.8
2011M10;9.9
2011M11;10
2011M12;10.1
2012M01;10.1
2012M02;10.2
2012M03;10.3
2012M04;10.4
2012M05;10.4
2012M06;10.5
2012M07;10.5
2012M08;10.6
2012M09;10.6
2012M10;10.7
2012M11;10.8
2012M12;10.8
2013M01;10.9
2013M02;11
2013M03;11
2013M04;11
2013M05;11
2013M06;11
2013M07;10.9
2013M08;10.9
2013M09;10.8
2013M10;10.7
2013M11;10.7
2013M12;10.7
2014M01;10.6
2014M02;10.6
2014M03;10.5
2014M04;10.4
2014M05;10.3
2014M06;10.2
2014M07;10.1
2014M08;10.1
2014M09;10
2014M10;10
2014M11;10
2014M12;9.8
2015M01;9.8
2015M02;9.8
2015M03;9.7
2015M04;9.7
2015M05;9.6
2015M06;9.5
2015M07;9.3
2015M08;9.2
2015M09;9.2
2015M10;9.1
2015M11;9
2015M12;9
2016M01;8.9
2016M02;8.9
2016M03;8.8
2016M04;8.7
2016M05;8.7
2016M06;8.6
2016M07;8.5
2016M08;8.5
2016M09;8.4
2016M10;8.3
2016M11;8.3
2016M12;8.2
2017M01;8.1
2017M02;8
2017M03;7.9
2017M04;7.8
2017M05;7.8
2017M06;7.6
2017M07;7.6
2017M08;7.6
2017M09;7.5
2017M10;7.4
2017M11;7.3
2017M12;7.2
2018M01;7.2
2018M02;7.1
2018M03;7
2018M04;7
2018M05;6.9
2018M06;6.8
2018M07;6.8
2018M08;6.8
2018M09;6.7
2018M10;6.7
2018M11;6.6
2018M12;6.6
2019M01;6.5
2019M02;6.5
2019M03;
